Letter,ID,P1,P2,Cell,Sex,X,Y,Age,Animal,Synapses,Treatment,Category,Time
AA,24605003.abf,-35.79390717,-64.4804306,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.083333333
AA,24605003.abf,-62.44057083,-88.07534027,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.166666667
AA,24605003.abf,-30.42120743,-38.9661293,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.25
AA,24605003.abf,-57.93521118,-35.96255493,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.333333333
AA,24605003.abf,-38.75732422,-47.91259766,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.416666667
AA,24605003.abf,-29.60205078,-33.87451172,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.5
AA,24605003.abf,-55.06013489,-29.42536926,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.583333333
AA,24605003.abf,-82.22077942,-32.17195129,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.666666667
AA,24605003.abf,-27.55416107,-39.15084076,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.75
AA,24605003.abf,-46.33853149,-67.09048462,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.833333333
AA,24605003.abf,-85.89092255,-43.77666092,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,6.916666667
AA,24605003.abf,-46.08154297,-47.30224609,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7
AA,24605003.abf,-51.53455353,-57.02771759,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.083333333
AA,24605003.abf,-30.87093925,-38.80551147,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.166666667
AA,24605003.abf,-75.13748932,-44.61991119,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.25
AA,24605003.abf,-61.46079636,-27.89146042,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.333333333
AA,24605003.abf,-92.46022797,-46.68386459,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.416666667
AA,24605003.abf,-22.89621544,-19.84445763,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.5
